"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL","mean.multiLLH","med.multiLLH"
"33","fitms_0.005","Eso-AdenoCA",2.80449502695468,2.93299319988446,0.217569742789774,0.922082251082251,1,0.124203721240491,0.0720049730453168,0.055200608931971,0.0539557842511201,0.8765,1,0.185805115551773,1,1,0,0.956706774445492,0.0992767285360101,0.0071101062188643,-114.494538261602,-113.543483594867
"34","fitms_0.001","Eso-AdenoCA",2.80449502692966,2.93299319988446,0.217569742772331,0.922082251082251,1,0.124203721240491,0.072004973070342,0.0552006089319722,0.0539557842386427,0.8765,1,0.185805115551773,1,1,0,0.956706774419792,0.0992767285377006,0.0071101062188651,-114.494538261602,-113.543483594867
"35","fitms_0.010","Eso-AdenoCA",2.80449502685872,2.93299319988445,0.217569742723048,0.922082251082251,1,0.124203721240491,0.0720049731412789,0.0552006089319718,0.0539557842039295,0.8765,1,0.185805115551773,1,1,0,0.956706774346738,0.0992767285422733,0.00711010621886526,-114.494538261602,-113.543483594867
"36","msa_thresholdx10_unpruned","ColoRect-AdenoCA",2.80438939917969,2.91056632551658,0.19685661825503,0.950285714285714,1,0.0849528468529146,0.112277267486973,0.0859656329882269,0.0864962612997957,0.996666666666667,1,0.0333333333333333,0.92,1,0.140105780143539,0.921070381377413,0.0523497850255458,0.00889274378559226,-1481.66899724014,-134.488955345944
"37","fitms_0.100","Eso-AdenoCA",2.80349909022482,2.932533416625,0.219376351955958,0.922177489177489,1,0.121312980371355,0.070834243108515,0.050534822372271,0.0540600762813137,0.876833333333333,1,0.180905178205831,0.9975,1,0.025,0.957522276309145,0.0971024634007472,0.00742248917563878,-115.089939816879,-115.121601058917
"38","msa_default_unpruned","ColoRect-AdenoCA",2.7946743577382,2.90336364170142,0.197282819571954,0.944857142857143,1,0.0874999190151877,0.1128256422618,0.0859656329882269,0.0861707162203525,0.996666666666667,1,0.0333333333333333,0.910833333333333,1,0.144704020841119,0.920909999914926,0.0534501094845964,0.00947925383419001,-1484.50643550759,-136.081353622846
"39","pasa","Skin-Melanoma",2.78672943688718,2.85400540054005,0.199586383626214,0.947368686868687,1,0.0833581702529703,0.121770563112817,0.0914925808450909,0.093122827733703,0.9155,1,0.128996276231936,0.993,1,0.0402140736207079,0.924996831122485,0.119292634680388,0.0276028894145066,-118.216978704196,-104.718767472339
"40","yapsa_0.10","ColoRect-AdenoCA",2.78603041251325,2.90761219303325,0.23614005150394,0.938619047619048,1,0.115634368489948,0.117302920820079,0.0897135364551669,0.0928002436923151,0.91,1,0.173948661750539,0.993333333333333,1,0.0469017647120965,0.913634030304162,0.157239103143042,0.00632217301682056,-623.340585838878,-119.002710765809
"41","yapsa_0.01","ColoRect-AdenoCA",2.7843185458133,2.88216040712692,0.199590623432966,0.938857142857143,1,0.0903526155405791,0.113181454186699,0.0864881226582187,0.0860633896295508,0.996666666666667,1,0.0333333333333333,0.900833333333333,1,0.149679324264353,0.920877072171458,0.0542325232528326,0.0111999380343772,-1488.45202810369,-138.929423983192
"42","fitms_0.200","Eso-AdenoCA",2.78387738940289,2.92461502471718,0.244474206074538,0.914637806637807,1,0.127789474805705,0.0756226105971135,0.0514867011098987,0.0613056905371583,0.867833333333333,1,0.184641111530829,0.991666666666667,1,0.0481125224324688,0.955863667634778,0.110494086293831,0.0079495244756277,-117.39477568832,-115.32294537282
"43","pasa","Breast-AdenoCA",2.77825468067632,2.87055955421407,0.198004706214523,0.931531024531025,1,0.0996451845142719,0.106911985990351,0.0861832714815872,0.0697067982491829,0.887666666666667,1,0.154153493840716,0.9975,1,0.025,0.935837716547705,0.12820102749539,0.0226835802596016,-72.6691663080093,-71.3792385927345
"44","yapsa_0.03","Eso-AdenoCA",2.77533401787266,2.88489831004456,0.22887041171618,0.931777056277056,1,0.102503724462647,0.10949931546067,0.0751206785159599,0.0928484811708916,0.920166666666667,1,0.143710157705047,0.964666666666667,1,0.0989643339488494,0.930720205511577,0.0926524347133475,0.0250522234478655,-127.868945310896,-127.71901542034
"45","pasa","Ovary-AdenoCA",2.77524873193273,2.87327281414238,0.201783312994084,0.937160062160062,1,0.092696614793216,0.117489363305363,0.106779784894172,0.0790932414423516,0.901071428571429,1,0.142382317756206,0.991666666666667,1,0.0495490325008802,0.930261107256839,0.141011891888978,0.0282824144366904,-92.7787313410358,-87.9915523146157
"46","pasa","Lung-AdenoCA",2.77137733761134,2.88905325443787,0.228900500740186,0.912073593073593,1,0.114071548930041,0.0775036147696126,0.0540540540540541,0.067635267678574,0.875880952380952,1,0.160685879234698,0.973,1,0.0966840806328086,0.953203903000879,0.0820011282010521,0.0137401221476595,-106.505142496336,-108.875311782625
"47","msa_thresholdx10","Stomach-AdenoCA",2.76925388576573,2.85839169072239,0.207188230533465,0.938249639249639,1,0.0972554296491092,0.127412780900938,0.107741578924994,0.0824103005401201,0.944,1,0.124508461167733,0.952666666666667,1,0.115219986731088,0.917210920685939,0.0896088349009624,0.0211057378459717,-1413.32030266154,-118.667643479531
"48","musical","Eso-AdenoCA",2.76765533757755,2.82556973258311,0.208603999173887,0.924883061383061,1,0.100627042762665,0.105808948136737,0.08327816400148,0.0889159961020662,0.988833333333333,1,0.0509205384355655,0.884630952380952,1,0.159086819266308,0.932980642635898,0.0578326580498568,0.0232899487073472,-115.277253700053,-117.569982636847
"49","deconstruct_0.06","ColoRect-AdenoCA",2.76616924445264,2.91156301970431,0.254971319067829,0.933857142857143,1,0.106737021994341,0.122997422214023,0.0847295249398674,0.112170241057136,0.955833333333333,1,0.125044885319459,0.933333333333333,1,0.135566318499692,0.918141119759889,0.117877983548844,0.0134806857032175,-2146.79397872288,-139.189716360356
"50","deconstruct_0.03","ColoRect-AdenoCA",2.76030522168517,2.88827233314537,0.23672474799061,0.930857142857143,1,0.10036804394414,0.1238614449815,0.0932983418460932,0.109800870865445,0.98,1,0.0895179759236546,0.904166666666667,1,0.14811526360619,0.918744894366117,0.0939009670901347,0.0288446227976912,-2217.02697140132,-165.268732576418
"51","msa_default","Eso-AdenoCA",2.75258020568698,2.86247048894097,0.247738382740763,0.917797258297258,1,0.116489379342331,0.111062651455876,0.0826133271134634,0.0943484835310687,0.9705,1,0.082158554383347,0.893142857142857,1,0.172338148653715,0.930915632198284,0.0773220260150691,0.0248566869203734,-132.9409241902,-127.265401045632
"52","msa_thresholdx1000","Eso-AdenoCA",2.74750667800324,2.85630443252599,0.249007483147385,0.91472582972583,1,0.117810851395264,0.111302845806279,0.0826133271134634,0.0943177280672782,0.9705,1,0.082158554383347,0.888309523809524,1,0.175330080410035,0.930892756538302,0.077836910813644,0.0252979387225128,-133.019052485585,-127.265401045632
"53","msa_thresholdx100","Eso-AdenoCA",2.7471731605453,2.85630443252599,0.248905180562486,0.914888167388167,1,0.116471651146431,0.111469696597559,0.0826133271134634,0.094559170768392,0.9705,1,0.082158554383347,0.888142857142857,1,0.173201437483518,0.930870148939373,0.078190767393339,0.0252979387225128,-133.810756505849,-129.005335461551
"54","fitms_0.200","Liver-HCC",2.7458579287267,2.8492088169379,0.270137605345715,0.917466810966811,1,0.127601159901689,0.119618261749488,0.0874054515968579,0.125666892542328,0.870476190476191,1,0.167073303156951,0.995,1,0.0351763235340724,0.930792989111767,NA,NA,-101.512986726173,-102.028565774361
"55","msa_thresholdx10","Eso-AdenoCA",2.74474410816166,2.85630443252599,0.250575468272605,0.913816738816739,1,0.117496516068175,0.111398748981195,0.0826133271134634,0.0944110357927924,0.9705,1,0.082158554383347,0.885642857142857,1,0.173374746954168,0.930890387741415,0.0780142625650391,0.0252979387225128,-133.072644148622,-127.265401045632
"56","deconstruct_0.10","ColoRect-AdenoCA",2.74232848716002,2.90987639013992,0.271769984050511,0.917857142857143,1,0.122156379258758,0.126838179506647,0.0855447817246006,0.117355625740817,0.905,1,0.178463010216999,0.964166666666667,1,0.102750474123772,0.913316008747078,0.195857135337068,0.0122316448376471,-1643.25666596245,-129.044519079178
"57","musical","Stomach-AdenoCA",2.74188324706211,2.78545604677398,0.197523059140857,0.920733766233766,1,0.0973400211402894,0.124950086271219,0.100024660124087,0.0804829660952283,0.975833333333333,1,0.0746249507686042,0.891,1,0.153821868496758,0.920535715294934,0.0636497785483584,0.0262310568674651,-297.029698440327,-116.60044909936
"58","fitms_0.100","Liver-HCC",2.73118275523198,2.74009889309891,0.234759252478088,0.920120490620491,0.954545454545454,0.0947182641882993,0.125293435244212,0.0922578611824384,0.0916738557554636,0.892309523809524,1,0.138816866504308,0.964166666666667,1,0.0809031164643711,0.930302008380104,0.156984795042618,0.0654990400445184,-102.898136550339,-101.365189395187
"59","fitms_0.060","Liver-HCC",2.73118275523198,2.74009889309904,0.234759252478078,0.920120490620491,0.954545454545454,0.0947182641882993,0.125293435244213,0.0922578611824383,0.0916738557554565,0.892309523809524,1,0.138816866504308,0.964166666666667,1,0.0809031164643711,0.930302008380102,0.156984795042619,0.0654990400444827,-102.898136550339,-101.365189395187
"60","deconstruct_0.06","Stomach-AdenoCA",2.7311541859306,2.87784509809445,0.267695929435203,0.912888888888889,1,0.125041666784492,0.124012480736071,0.101806307863962,0.0897694464986613,0.890166666666667,1,0.171856813393488,0.965,1,0.110592222740298,0.923861700346224,0.130587387860761,0.0219569907654793,-743.940220094194,-117.872737832774
"61","msa_thresholdx1000","Stomach-AdenoCA",2.73013417718481,2.83468921162854,0.241798090467585,0.917286102786103,1,0.115802703690407,0.130615822815185,0.104200702641453,0.0852064397587599,0.964333333333333,1,0.102248020460012,0.896416666666667,1,0.15988410768432,0.917869046964789,0.0783778357916505,0.0314503922805624,-137.065613388416,-121.730987096282
"62","deconstruct_0.00","ColoRect-AdenoCA",2.72833086767403,2.72686455463386,0.220342624137357,0.912380952380952,1,0.0978291126649986,0.125002465659307,0.0932983418460932,0.108681685365056,0.991666666666667,1,0.0598117135471061,0.861666666666667,1,0.158565751797472,0.91858771668916,0.0892956839949581,0.0462521480712815,-2385.50696004036,-187.458081926689
"63","deconstruct_0.03","Stomach-AdenoCA",2.72570709495225,2.81939270703262,0.233027227208783,0.911075036075036,1,0.111805028483981,0.124959571714417,0.101806307863962,0.0849707371735607,0.936666666666667,1,0.134777532122321,0.914,1,0.145734718942587,0.924410257772803,0.0940796039195283,0.0274627662541481,-1469.26090380105,-119.653572629869
"64","fitms_0.010","Ovary-AdenoCA",2.72369163765406,2.76712248973528,0.216950486228423,0.909815295815296,0.954545454545454,0.115627926774318,0.128784552822133,0.120640184047576,0.0784263932207242,0.865309523809524,1,0.169801567489402,0.987166666666667,1,0.0672055242638765,0.926133229847417,0.164796965134453,0.0622948769322811,-88.1047019023905,-88.6913731894701
"65","fitms_0.050","Ovary-AdenoCA",2.72369163765404,2.76712248973528,0.216950486228464,0.909815295815296,0.954545454545454,0.115627926774318,0.128784552822149,0.120640184047578,0.0784263932207988,0.865309523809524,1,0.169801567489402,0.987166666666667,1,0.0672055242638765,0.926133229847407,0.164796965134467,0.062294876932279,-88.1047019023905,-88.6913731894701
"66","fitms_0.060","Ovary-AdenoCA",2.72369163765404,2.76712248973528,0.21695048622847,0.909815295815296,0.954545454545454,0.115627926774318,0.128784552822152,0.120640184047576,0.0784263932208053,0.865309523809524,1,0.169801567489402,0.987166666666667,1,0.0672055242638765,0.926133229847407,0.164796965134468,0.0622948769322778,-88.1047019023905,-88.6913731894701
"67","fitms_0.200","Ovary-AdenoCA",2.72369163765404,2.76712248973528,0.216950486228467,0.909815295815296,0.954545454545454,0.115627926774318,0.128784552822152,0.120640184047578,0.0784263932208035,0.865309523809524,1,0.169801567489402,0.987166666666667,1,0.0672055242638765,0.926133229847407,0.164796965134466,0.0622948769322785,-88.1047019023905,-88.6913731894701
"68","fitms_0.005","Ovary-AdenoCA",2.72369163765404,2.76712248973528,0.216950486228468,0.909815295815296,0.954545454545454,0.115627926774318,0.128784552822152,0.120640184047577,0.0784263932207982,0.865309523809524,1,0.169801567489402,0.987166666666667,1,0.0672055242638765,0.926133229847408,0.164796965134467,0.0622948769322793,-88.1047019023905,-88.6913731894701
"69","fitms_0.030","Ovary-AdenoCA",2.72369163765404,2.76712248973529,0.216950486228467,0.909815295815296,0.954545454545454,0.115627926774318,0.128784552822152,0.120640184047576,0.0784263932208004,0.865309523809524,1,0.169801567489402,0.987166666666667,1,0.0672055242638765,0.926133229847407,0.164796965134468,0.062294876932277,-88.1047019023905,-88.6913731894701
"70","fitms_0.100","Ovary-AdenoCA",2.72369163765404,2.76712248973528,0.216950486228469,0.909815295815296,0.954545454545454,0.115627926774318,0.128784552822152,0.120640184047577,0.0784263932208039,0.865309523809524,1,0.169801567489402,0.987166666666667,1,0.0672055242638765,0.926133229847408,0.164796965134466,0.0622948769322785,-88.1047019023905,-88.6913731894701
"71","fitms_0.001","Ovary-AdenoCA",2.72369163765403,2.76712248973528,0.216950486228477,0.909815295815296,0.954545454545454,0.115627926774318,0.128784552822164,0.120640184047576,0.0784263932208145,0.865309523809524,1,0.169801567489402,0.987166666666667,1,0.0672055242638765,0.926133229847402,0.16479696513447,0.0622948769322793,-88.1047019023905,-88.6913731894701
"72","yapsa_0.06","Eso-AdenoCA",2.72359745421192,2.82097049249141,0.268892077066117,0.901007215007215,1,0.135499173512963,0.118069212454745,0.0993644507036018,0.0955206754412151,0.8495,1,0.198089287648355,0.992166666666667,1,0.0457788932883602,0.925617260080884,0.160408086180515,0.0432273811614223,-125.580369502244,-126.030788262619
"73","yapsa_0.01","Eso-AdenoCA",2.72014945650057,2.75134263946515,0.234575343151143,0.901634088134088,0.909090909090909,0.108823169894087,0.113898162547046,0.0863943302288415,0.0937044774886683,0.9685,1,0.0838500813307266,0.865547619047619,1,0.169309579969077,0.930364419747239,0.0819471045122682,0.0442564911881165,-135.644731248415,-130.285315143573
"74","deconstruct_0.03","Eso-AdenoCA",2.7186907887824,2.75367178152689,0.257061997696022,0.907665834165834,1,0.114748568375215,0.121213973122359,0.0920156221425673,0.101891934889234,0.9055,1,0.153796967769764,0.934404761904762,1,0.124873501580451,0.927933351193289,0.126181222744574,0.0484135493996585,-174.937224743188,-135.995112844546
"75","fitms_0.001","Liver-HCC",2.71830592043498,2.72239906756089,0.23372224350978,0.91530303030303,0.909090909090909,0.0963716410177386,0.13033693670788,0.104720156038931,0.0892455729819561,0.889809523809524,1,0.14394609813433,0.958833333333333,1,0.0842360200312614,0.926738773703451,0.16403835475265,0.0786601950127075,-103.08685156408,-101.705564602762
"76","fitms_0.005","Liver-HCC",2.71830592002886,2.7223990675609,0.2337222431005,0.91530303030303,0.909090909090909,0.0963716410177386,0.130336937114,0.10472015603893,0.0892455726073641,0.889809523809524,1,0.14394609813433,0.958833333333333,1,0.0842360200312614,0.926738773490407,0.164038354736138,0.0786601950127075,-103.08685156408,-101.705564602762
"77","fitms_0.030","Liver-HCC",2.71830591998525,2.7223990675609,0.233722243080941,0.91530303030303,0.909090909090909,0.0963716410177386,0.130336937157611,0.104720156038931,0.089245572597751,0.889809523809524,1,0.14394609813433,0.958833333333333,1,0.0842360200312614,0.926738773473555,0.164038354737753,0.0786601950127077,-103.08685156408,-101.705564602762
"78","fitms_0.010","Liver-HCC",2.71830591996855,2.7223990675609,0.233722243027584,0.91530303030303,0.909090909090909,0.0963716410177386,0.130336937174304,0.104720156038924,0.0892455725328697,0.889809523809524,1,0.14394609813433,0.958833333333333,1,0.0842360200312614,0.926738773454802,0.164038354731504,0.0786601950127075,-103.08685156408,-101.705564602762
"79","fitms_0.050","Liver-HCC",2.71830591988368,2.72239906756089,0.233722242923392,0.91530303030303,0.909090909090909,0.0963716410177386,0.130336937259175,0.104720156038932,0.0892455724374954,0.889809523809524,1,0.14394609813433,0.958833333333333,1,0.0842360200312614,0.92673877340738,0.164038354726362,0.0786601950127075,-103.08685156408,-101.705564602762
"80","yapsa_0.03","Stomach-AdenoCA",2.71804762924413,2.83099822750768,0.244662740903948,0.912122655122655,1,0.117899547560106,0.134619037422537,0.116486913565881,0.0851486672609897,0.942,1,0.131500022404013,0.910666666666667,1,0.154515280608872,0.915763441341835,0.0943130513311149,0.0383686592293728,-1367.26433298762,-122.11178484715
"81","msa_thresholdx100","Stomach-AdenoCA",2.7160315003415,2.79770467298624,0.242978910963142,0.910174991674992,1,0.11622286576792,0.132718499658502,0.106274151833258,0.085505030816328,0.964333333333333,1,0.102248020460012,0.884416666666667,1,0.163332195247873,0.917074502233943,0.0826853083820814,0.0409965352251245,-432.029859216651,-121.730987096282
"82","fitms_0.100","Breast-AdenoCA",2.71389730845663,2.73282529998584,0.236616174145969,0.902996281496282,0.888888888888889,0.109563257645043,0.122840786781467,0.0920875150636682,0.108419223328107,0.854738095238095,0.928571428571428,0.167222153736141,0.982,1,0.0617587355290036,0.926362262555899,0.178646882458308,0.0737983018435825,-74.8501431866673,-71.6366506743356
"83","fitms_0.200","Breast-AdenoCA",2.71337897891583,2.72530706627404,0.22981971012976,0.903170274170274,0.888888888888889,0.108783353244203,0.124430544893697,0.0935590776450164,0.110577897517857,0.853309523809524,0.916666666666667,0.167810578281017,0.9845,1,0.057161387688056,0.925798933325682,0.18327815476861,0.0744277233970907,-75.5691451578006,-71.6607887121112
