Sample.ID,Tool,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS26,SBS28,SBS29,SBS30,SBS31,SBS35,SBS37,SBS38,SBS40,SBS40a,SBS40b,SBS40c,SBS41,SBS44,SBS24,SBS39
Breast-AdenoCA::S.30,Ground-Truth,337,731,0,0,4231,0,0,0,0,0,0,0,0,0,0,4627,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.31,Ground-Truth,442,345,0,0,2078,0,0,0,0,0,0,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.32,Ground-Truth,269,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.33,Ground-Truth,525,10,0,0,1150,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.34,Ground-Truth,532,13,0,0,3208,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.35,Ground-Truth,157,54,0,0,1264,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.36,Ground-Truth,83,590,5069,0,1757,0,0,0,0,0,0,0,0,0,0,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.37,Ground-Truth,337,2912,4108,0,1764,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.38,Ground-Truth,813,138,0,0,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.39,Ground-Truth,299,27,3306,0,2332,0,0,0,0,0,0,7379,0,0,0,3557,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.40,Ground-Truth,351,261,0,0,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.41,Ground-Truth,523,0,9720,0,3755,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0
Breast-AdenoCA::S.42,Ground-Truth,474,0,0,0,4175,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.43,Ground-Truth,227,74,2805,0,884,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.44,Ground-Truth,409,5614,0,0,2972,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.45,Ground-Truth,629,13,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.46,Ground-Truth,363,866,5405,0,3368,0,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.47,Ground-Truth,1080,220,5004,0,923,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.48,Ground-Truth,438,381,3313,0,1750,0,0,0,0,0,0,0,0,0,0,1971,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.49,Ground-Truth,146,7697,0,0,1330,0,0,0,0,0,0,0,0,0,0,4243,0,0,0,0,0,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.50,Ground-Truth,411,2239,8435,0,957,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,0,0
Breast-AdenoCA::S.51,Ground-Truth,173,565,0,0,3815,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0
Breast-AdenoCA::S.52,Ground-Truth,402,4443,5443,0,2731,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.53,Ground-Truth,345,37,0,0,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.54,Ground-Truth,331,3114,10290,0,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.55,Ground-Truth,462,2715,4919,0,972,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.56,Ground-Truth,323,142,0,0,920,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.57,Ground-Truth,313,556,251,0,1766,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.58,Ground-Truth,624,7,7825,0,1690,0,0,0,0,0,0,0,0,0,0,5673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.59,Ground-Truth,602,0,0,0,2241,0,0,0,0,0,0,0,0,0,0,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.60,Ground-Truth,392,1261,0,0,2141,0,0,0,0,0,0,0,0,0,0,12887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.61,Ground-Truth,566,715,0,0,2967,0,0,0,0,0,0,0,0,0,0,1965,0,0,0,383,3489,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.62,Ground-Truth,165,0,0,0,958,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.63,Ground-Truth,460,599,3773,0,5928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.64,Ground-Truth,246,1715,0,0,3109,0,0,0,0,0,0,0,0,0,0,2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.65,Ground-Truth,297,838,0,0,489,0,0,0,0,0,0,0,0,0,0,4620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.66,Ground-Truth,475,1345,0,0,1797,0,0,0,0,0,0,0,0,0,0,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.67,Ground-Truth,475,812,5010,0,2202,0,0,0,0,0,0,64,0,0,0,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.68,Ground-Truth,403,973,1364,0,2441,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.69,Ground-Truth,381,241,0,0,1790,0,0,0,0,0,0,0,0,0,0,5521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.70,Ground-Truth,641,44,0,0,1897,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.71,Ground-Truth,640,1133,0,0,2287,0,0,0,0,0,0,0,0,0,0,1516,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0
Breast-AdenoCA::S.72,Ground-Truth,664,133,0,0,1583,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.73,Ground-Truth,496,119,0,0,456,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.74,Ground-Truth,511,3676,0,0,455,0,0,0,0,0,0,645,0,0,0,9774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.75,Ground-Truth,242,0,0,0,3554,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.76,Ground-Truth,490,84,4837,0,2964,0,0,0,0,0,0,0,0,0,0,5543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.77,Ground-Truth,163,274,2255,0,2371,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.78,Ground-Truth,319,948,0,0,1357,0,0,0,0,0,0,0,0,0,0,4103,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.79,Ground-Truth,315,3235,0,0,1268,0,0,0,0,0,0,0,0,0,0,3121,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.80,Ground-Truth,110,3545,0,0,4449,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.81,Ground-Truth,292,78,0,0,2703,0,0,0,0,0,0,0,0,0,0,2533,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.82,Ground-Truth,295,205,0,0,586,0,0,0,0,0,0,0,0,0,0,8753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.83,Ground-Truth,231,1227,4801,0,3059,0,0,0,0,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.84,Ground-Truth,335,0,0,0,2130,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.85,Ground-Truth,694,540,0,0,3465,0,0,0,0,0,2288,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.86,Ground-Truth,222,5417,0,0,1331,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.87,Ground-Truth,256,274,11451,0,623,0,0,0,0,0,0,0,0,0,0,2884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.88,Ground-Truth,423,5818,0,0,813,0,0,0,0,0,0,0,0,0,0,5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.89,Ground-Truth,503,196,0,0,1815,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.90,Ground-Truth,409,0,0,0,921,0,0,0,0,0,0,3107,0,0,0,1116,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.91,Ground-Truth,475,3534,6181,0,2994,0,0,0,0,0,0,0,0,0,0,2306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.92,Ground-Truth,172,350,3962,0,2727,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.93,Ground-Truth,340,1631,3222,0,4404,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,1185,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.94,Ground-Truth,235,199,0,0,2449,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0
Breast-AdenoCA::S.95,Ground-Truth,409,31,3060,0,2074,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.96,Ground-Truth,627,0,0,0,3115,0,0,0,0,0,0,0,0,0,0,3543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.97,Ground-Truth,405,409,0,0,1382,0,0,0,0,0,0,0,0,0,0,1229,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.98,Ground-Truth,232,1447,0,0,804,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.99,Ground-Truth,679,2513,0,0,4063,0,0,0,0,0,0,0,0,0,0,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.100,Ground-Truth,457,1152,0,0,2384,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.1,Ground-Truth,2103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.2,Ground-Truth,1705,0,0,0,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4441,0,0,0,0,0,0,0,0,0,0,0,0,0,6087,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.3,Ground-Truth,2164,0,0,0,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.4,Ground-Truth,2173,0,0,0,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.5,Ground-Truth,3626,0,0,0,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,0,0,0,0,0,0,0,0,0,0,0,0,0,17146,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.6,Ground-Truth,1820,0,0,0,5925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,0,0,0,0,0,0,0,0,0,9244,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.7,Ground-Truth,2729,0,0,0,2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.8,Ground-Truth,2480,0,0,0,3657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.9,Ground-Truth,2971,0,0,0,2652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3679,0,0,0,0,0,0,0,0,0,0,0,0,0,8153,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.10,Ground-Truth,1221,0,0,0,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4476,0,0,0,0,0,0,0,0,0,0,0,2344,0,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.11,Ground-Truth,2226,0,0,0,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5069,0,0,0,0,0,0,299,0,0,0,0,0,0,8340,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.12,Ground-Truth,2402,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.13,Ground-Truth,3146,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4494,0,0,0,0,0,0,714,0,0,0,0,0,0,8854,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.14,Ground-Truth,1537,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,18682,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.15,Ground-Truth,1253,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152,0,0,0,0,0,0,0,0,0,0,0,0,0,4305,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.16,Ground-Truth,2897,0,0,0,1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,3121,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.17,Ground-Truth,3100,0,0,0,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4672,0,0,0,0,0,0,0,0,0,0,0,0,0,6793,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.18,Ground-Truth,2390,0,0,0,4173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,7052,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.19,Ground-Truth,2795,0,0,0,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6914,0,0,0,0,0,0,0,0,0,0,0,0,0,4076,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.20,Ground-Truth,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.21,Ground-Truth,3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4656,0,0,0,0,0,0,747,0,0,0,0,0,0,6737,0,0,0,0,0,0,0
